mjd,mag,magerr
1,22.156411686625468,0.05
2,22.15723740295254,0.05
3,22.16106777451221,0.05
4,22.166400696570285,0.05
5,22.1706578730362,0.05
6,22.17365408500097,0.05
7,22.1789166101022,0.05
8,22.184283215808755,0.05
12,22.200336006403624,0.05
13,22.204541559011894,0.05
14,22.210486965168194,0.05
15,22.217027766994214,0.05
16,22.22207935205308,0.05
17,22.22752011869776,0.05
18,22.233358019860724,0.05
22,22.257455030544627,0.05
23,22.26418746012707,0.05
24,22.26808778615206,0.05
25,22.271644239304287,0.05
26,22.275733231475975,0.05
27,22.27873967394705,0.05
28,22.281033025604295,0.05
29,22.286970593583582,0.05
30,22.29435571714047,0.05
31,22.302476620677403,0.05
32,22.311047347447293,0.05
56,22.31843977150823,0.05
57,22.31797305418224,0.05
58,22.31762482516934,0.05
59,22.317429605451927,0.05
60,22.317477403584583,0.05
61,22.31297416616666,0.05
62,22.30888084296877,0.05
63,22.307122854348627,0.05
64,22.3045313183568,0.05
140,22.311660940849457,0.05
141,22.30917386202318,0.05
142,22.30835969388675,0.05
143,22.309757787754158,0.05
144,22.3133994018605,0.05
145,22.318304795658257,0.05
146,22.32479410238347,0.05
147,22.33068048065993,0.05
148,22.338202804274722,0.05
149,22.348976304686524,0.05
173,22.3383609303471,0.05
174,22.335529912048635,0.05
175,22.332495242685162,0.05
176,22.328492620673195,0.05
177,22.323689794036035,0.05
178,22.320088970962196,0.05
179,22.315650303834808,0.05
180,22.310707182463254,0.05
181,22.30696970482827,0.05
182,22.302843730889215,0.05
223,22.352130531949705,0.05
224,22.35146910297187,0.05
225,22.349060921552613,0.05
226,22.347923823466353,0.05
227,22.3459937425634,0.05
228,22.341282588731424,0.05
229,22.334824012092163,0.05
230,22.327677876432453,0.05
231,22.323237020044694,0.05
232,22.317715387232376,0.05
233,22.31000777100089,0.05
234,22.301793422419372,0.05
259,22.32656429691186,0.05
260,22.324167856178015,0.05
261,22.320640095294785,0.05
262,22.31558533734276,0.05
263,22.310374951228603,0.05
264,22.306302843453828,0.05
265,22.301855426193917,0.05
266,22.298666502045997,0.05
305,22.304712142548063,0.05
306,22.302801601405996,0.05
307,22.30332279406398,0.05
308,22.30417020595025,0.05
309,22.304886160424736,0.05
310,22.304067660913454,0.05
311,22.301148937545783,0.05
312,22.29461590264639,0.05
313,22.286877814765326,0.05
441,22.247882547805666,0.05
442,22.251632438463652,0.05
443,22.252180856274656,0.05
444,22.250025198446828,0.05
445,22.248126207847925,0.05
446,22.247733855982467,0.05
447,22.24730189913668,0.05
448,22.24842076637156,0.05
449,22.251787310506096,0.05
450,22.255830473949636,0.05
462,22.263047660234058,0.05
463,22.26316151298196,0.05
464,22.262684938187995,0.05
465,22.26403074325163,0.05
466,22.26626616457154,0.05
467,22.269879725440497,0.05
468,22.271013169275868,0.05
469,22.268656112692618,0.05
483,22.221350678462123,0.05
484,22.222386110271437,0.05
485,22.22214234461932,0.05
486,22.220402468646036,0.05
487,22.220080267571937,0.05
488,22.220693102894963,0.05
489,22.22292040265757,0.05
492,22.24339142527146,0.05
493,22.2536671107813,0.05
494,22.26269324654198,0.05
495,22.272825005328023,0.05
496,22.281483592947872,0.05
497,22.288967738303093,0.05
498,22.296462971248452,0.05
519,22.283105126013645,0.05
520,22.278599164159594,0.05
521,22.274207069366064,0.05
522,22.27127270498878,0.05
523,22.27211142116507,0.05
524,22.27570723986951,0.05
525,22.279218079090946,0.05
526,22.282825104996256,0.05
527,22.286189567565224,0.05
528,22.288429884776143,0.05
529,22.289566145415215,0.05
530,22.290721292146266,0.05
531,22.292170246848222,0.05
590,22.253250260468356,0.05
591,22.256452485487834,0.05
592,22.258029640403002,0.05
593,22.259797052426528,0.05
594,22.261875628075664,0.05
595,22.265003303813508,0.05
596,22.268800999356948,0.05
597,22.271488230719562,0.05
598,22.27151157742646,0.05
599,22.271105160598857,0.05
600,22.271081153961568,0.05
601,22.269353100169916,0.05
602,22.267507437433103,0.05
630,22.281891606367232,0.05
631,22.281738038419228,0.05
632,22.2817851895228,0.05
633,22.280877384749566,0.05
634,22.279203387755636,0.05
635,22.276444277259607,0.05
636,22.273997265086912,0.05
637,22.26956827067739,0.05
638,22.262976281439443,0.05
639,22.25574651603261,0.05
640,22.251463781842894,0.05
641,22.24836092658594,0.05
650,22.23197511506978,0.05
651,22.234156785863014,0.05
652,22.234967979534012,0.05
653,22.23565504779615,0.05
654,22.236451700017675,0.05
655,22.239723774042226,0.05
656,22.245693326584878,0.05
657,22.251272610552043,0.05
658,22.256209479400944,0.05
659,22.260116486981737,0.05
660,22.262807993949075,0.05
661,22.264983561493544,0.05
662,22.26862834156909,0.05
691,22.288338260220094,0.05
692,22.28927092816702,0.05
693,22.288426445933858,0.05
694,22.285948198353488,0.05
695,22.28332459442955,0.05
696,22.280521428656407,0.05
697,22.280120925503816,0.05
698,22.28158173213435,0.05
699,22.281104211630385,0.05
700,22.281756126168766,0.05
701,22.282088461780795,0.05
702,22.282267513718544,0.05
703,22.28065281126522,0.05
