mjd,mag,magerr
1,19.360388588584435,0.05
49,19.362938211433068,0.05
50,19.362893850999775,0.05
51,19.36284452898183,0.05
52,19.362801356143514,0.05
53,19.362766596974957,0.05
54,19.36272867235079,0.05
55,19.362697073024684,0.05
56,19.362669385091685,0.05
57,19.36264497006507,0.05
58,19.36263090359831,0.05
124,19.35610807241006,0.05
125,19.355938250494837,0.05
126,19.355761935216286,0.05
127,19.355579302382573,0.05
128,19.355389429674055,0.05
129,19.35519262981692,0.05
130,19.354977441046806,0.05
131,19.354748546911118,0.05
132,19.35451054125445,0.05
133,19.354277718752833,0.05
134,19.354045299961847,0.05
145,19.351630432604388,0.05
146,19.35141204217802,0.05
147,19.35119617622974,0.05
148,19.35098254328293,0.05
149,19.35076821934299,0.05
150,19.35055615519216,0.05
151,19.350341099990395,0.05
171,19.345838415452924,0.05
172,19.345622189699135,0.05
173,19.345418904135308,0.05
174,19.345219593288398,0.05
175,19.3450234328536,0.05
176,19.344831153979435,0.05
177,19.344647535153676,0.05
178,19.3444651089114,0.05
179,19.344281855321988,0.05
273,19.33218931338954,0.05
274,19.332146698899145,0.05
275,19.332099928675866,0.05
276,19.3320501947048,0.05
277,19.331993023946218,0.05
278,19.331935942401564,0.05
279,19.33188623791616,0.05
280,19.331842292261165,0.05
281,19.331814708061238,0.05
282,19.3318017446881,0.05
328,19.33323900142171,0.05
329,19.333163268372523,0.05
330,19.333085592631967,0.05
331,19.333007274057742,0.05
332,19.33292593945847,0.05
333,19.332839019879366,0.05
334,19.33273773034221,0.05
335,19.332626923994773,0.05
336,19.332510145432956,0.05
337,19.33238706677148,0.05
338,19.332258733519303,0.05
339,19.332119883331565,0.05
340,19.331964247731058,0.05
341,19.33180472053464,0.05
342,19.33163900051033,0.05
343,19.331457147405636,0.05
344,19.331260780521568,0.05
345,19.331059707816557,0.05
346,19.330851097863224,0.05
347,19.330639000580483,0.05
348,19.330423426674066,0.05
349,19.330211337369768,0.05
350,19.329998616256354,0.05
373,19.324919960777457,0.05
374,19.324616343316713,0.05
375,19.324316103395425,0.05
376,19.32400813331929,0.05
377,19.323694751425315,0.05
378,19.32337562211979,0.05
379,19.32305369603896,0.05
380,19.322726691516827,0.05
381,19.322390383603086,0.05
382,19.3220372121311,0.05
383,19.32167029956903,0.05
384,19.321296808941618,0.05
385,19.320918149933995,0.05
386,19.320537551878083,0.05
387,19.32015806018827,0.05
388,19.31978531063266,0.05
437,19.302490801194075,0.05
438,19.302259479052303,0.05
439,19.3020305720758,0.05
440,19.301804789996744,0.05
441,19.301575947817376,0.05
442,19.301358134311535,0.05
443,19.301149606516454,0.05
444,19.300945250383812,0.05
445,19.300750024650334,0.05
446,19.300544963434056,0.05
447,19.300326031720424,0.05
448,19.300093984062066,0.05
461,19.297401885264527,0.05
462,19.297237581551208,0.05
463,19.297075503012813,0.05
464,19.296913982967816,0.05
465,19.296754288986655,0.05
466,19.296594642014476,0.05
467,19.296437278563694,0.05
468,19.29629067971083,0.05
469,19.296150301730925,0.05
470,19.296011286783006,0.05
471,19.29586988279963,0.05
472,19.295735202003293,0.05
473,19.295604368567446,0.05
474,19.295485029117977,0.05
475,19.295372564705254,0.05
476,19.29526889135962,0.05
477,19.29517105911652,0.05
478,19.295070876567785,0.05
479,19.294973658402803,0.05
480,19.294887462330358,0.05
481,19.29480967532691,0.05
538,19.294389258420544,0.05
539,19.294333264543205,0.05
540,19.29427240011477,0.05
541,19.29420970544397,0.05
542,19.294151229089074,0.05
543,19.294094086920133,0.05
544,19.29404283420596,0.05
545,19.29400115056304,0.05
546,19.29397239195658,0.05
547,19.29396402564914,0.05
548,19.29397688455625,0.05
549,19.293996699148984,0.05
550,19.29402309338642,0.05
551,19.294045425017465,0.05
554,19.294085772096615,0.05
555,19.294106478380805,0.05
556,19.29413127104339,0.05
557,19.294153299086723,0.05
558,19.294181346435842,0.05
559,19.294204854314053,0.05
560,19.294230333236534,0.05
561,19.29425442124289,0.05
562,19.294272354151666,0.05
563,19.29428988597646,0.05
564,19.294304762208235,0.05
565,19.294312239909765,0.05
566,19.294314174901224,0.05
567,19.294307311095345,0.05
568,19.29429512268704,0.05
569,19.29428352700146,0.05
596,19.295859767056207,0.05
597,19.295905716987214,0.05
598,19.29594414927916,0.05
599,19.29598055822344,0.05
600,19.29601371639911,0.05
601,19.296042738168744,0.05
602,19.296075111341118,0.05
611,19.295997319360815,0.05
612,19.295967219187027,0.05
613,19.29593202446346,0.05
614,19.295895743841022,0.05
615,19.29586215149316,0.05
616,19.295835829764577,0.05
617,19.295816942929612,0.05
618,19.29579795423313,0.05
631,19.294901846654774,0.05
632,19.294771068441285,0.05
633,19.294638037410202,0.05
634,19.294512657921835,0.05
635,19.29439636773477,0.05
636,19.2942872838451,0.05
637,19.294175263965734,0.05
638,19.29405111394481,0.05
639,19.293920918877497,0.05
658,19.291437995055183,0.05
659,19.29130365784986,0.05
660,19.29115643387808,0.05
661,19.29099955533038,0.05
662,19.29084806833223,0.05
663,19.29070078317907,0.05
